 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 20227.000,   1,  0.44903200E+10,   0.00000000E+00,  -0.45323828E+10,  -0.23673617E+08,   0.00000000E+00,  -0.15816222E+09,   0.00000000E+00,   0.00000000E+00,   0.78434025E-09,
 20241.000,   1,  0.45204499E+10,   0.00000000E+00,  -0.45564870E+10,  -0.24022676E+08,   0.00000000E+00,  -0.15990404E+09,   0.00000000E+00,   0.00000000E+00,   0.95665813E-09,
 20255.000,   1,  0.45541861E+10,   0.00000000E+00,  -0.45823507E+10,  -0.24544520E+08,   0.00000000E+00,  -0.16378431E+09,   0.00000000E+00,   0.00000000E+00,   0.10314230E-08,
 20269.000,   1,  0.45880504E+10,   0.00000000E+00,  -0.46083914E+10,  -0.25077618E+08,   0.00000000E+00,  -0.16824782E+09,   0.00000000E+00,   0.00000000E+00,   0.87260018E-09,
 20283.000,   1,  0.46091750E+10,   0.00000000E+00,  -0.46443801E+10,  -0.25733404E+08,   0.00000000E+00,  -0.17425108E+09,   0.00000000E+00,   0.00000000E+00,   0.67459366E-09,
 20297.000,   1,  0.46280561E+10,   0.00000000E+00,  -0.46821182E+10,  -0.26410754E+08,   0.00000000E+00,  -0.18110925E+09,   0.00000000E+00,   0.00000000E+00,   0.71342416E-09,
 20311.000,   1,  0.46466892E+10,   0.00000000E+00,  -0.47297722E+10,  -0.27080356E+08,   0.00000000E+00,  -0.18750112E+09,   0.00000000E+00,   0.00000000E+00,   0.66840360E-09,
 20325.000,   1,  0.46651838E+10,   0.00000000E+00,  -0.47829337E+10,  -0.27745630E+08,   0.00000000E+00,  -0.19327085E+09,   0.00000000E+00,   0.00000000E+00,   0.66995020E-09,
 20339.000,   1,  0.46820619E+10,   0.00000000E+00,  -0.48242464E+10,  -0.28364280E+08,   0.00000000E+00,  -0.19921980E+09,   0.00000000E+00,   0.00000000E+00,   0.59401642E-09,
 20353.000,   1,  0.46967819E+10,   0.00000000E+00,  -0.48497556E+10,  -0.28920667E+08,   0.00000000E+00,  -0.20582387E+09,   0.00000000E+00,   0.00000000E+00,   0.41378482E-09,
 20367.000,   1,  0.47107049E+10,   0.00000000E+00,  -0.48746655E+10,  -0.29425258E+08,   0.00000000E+00,  -0.21201440E+09,   0.00000000E+00,   0.00000000E+00,   0.39941221E-09,
 20381.000,   1,  0.47226317E+10,   0.00000000E+00,  -0.48980716E+10,  -0.29800240E+08,   0.00000000E+00,  -0.21282485E+09,   0.00000000E+00,   0.00000000E+00,   0.50477777E-09,
 20395.000,   1,  0.47349039E+10,   0.00000000E+00,  -0.49212755E+10,  -0.30160235E+08,   0.00000000E+00,  -0.21363527E+09,   0.00000000E+00,   0.00000000E+00,   0.31770757E-09,
 20409.000,   1,  0.47503727E+10,   0.00000000E+00,  -0.49426145E+10,  -0.30381702E+08,   0.00000000E+00,  -0.21434201E+09,   0.00000000E+00,   0.00000000E+00,   0.22779765E-10,
 20423.000,   1,  0.47676633E+10,   0.00000000E+00,  -0.49638225E+10,  -0.30597996E+08,   0.00000000E+00,  -0.21503150E+09,   0.00000000E+00,   0.00000000E+00,  -0.74622373E-10,
