Folsom Temperature Profiles (2001-2021) - All Sites,,,
JDAY,Depth,Temp,Seg
718.5,11.25,11,63
718.5,12.47,11,63
718.5,13.72,11,63
718.5,14.97,11,63
718.5,16.25,10.78,63
718.5,17.34,10.44,63
718.5,18.59,10.06,63
718.5,19.9,9.94,63
718.51,21.34,9.22,63
718.51,22.98,8.94,63
718.51,24.41,8.83,63
718.51,25.94,8.72,63
718.51,26.91,8.72,63
746.5,0.18,9.61,63
746.5,1.49,9.61,63
746.5,3.08,9.56,63
746.5,4.57,9.5,63
746.5,6.19,9.44,63
746.5,7.68,9.33,63
746.5,9.33,9.22,63
746.5,10.67,9.06,63
746.5,12.25,8.89,63
746.5,13.72,8.72,63
746.5,15.3,8.61,63
746.5,16.79,8.33,63
746.5,18.41,8.22,63
746.5,19.9,8.06,63
746.5,21.37,7.94,63
746.51,22.95,7.83,63
746.51,24.35,7.83,63
746.51,26,7.78,63
746.51,27.52,7.78,63
746.51,29.17,7.72,63
746.51,30.66,7.67,63
746.51,32.06,7.61,63
746.51,33.62,7.61,63
746.51,33.92,7.61,63
768.5,0.27,8.06,63
768.5,1.58,7.94,63
768.5,3.08,7.83,63
768.5,4.57,7.78,63
768.5,6.31,7.72,63
768.5,7.83,7.72,63
768.5,9.2,7.72,63
768.5,10.7,7.67,63
768.5,12.41,7.67,63
768.5,13.75,7.67,63
768.5,15.33,7.67,63
768.5,16.98,7.28,63
768.5,18.5,6.94,63
768.5,20.15,6.61,63
768.5,21.37,6.39,63
768.51,22.98,6.06,63
768.51,24.44,5.78,63
768.51,26.15,5.78,63
768.51,27.86,5.67,63
768.51,29.14,5.61,63
768.51,31.27,5.61,63
768.51,32.06,5.61,63
768.51,33.74,5.61,63
768.51,35.14,5.56,63
768.51,36.21,5.61,63
794.5,0.18,10.22,63
794.5,1.58,9.61,63
794.5,3.05,9.56,63
794.5,4.69,9.39,63
794.5,6.1,9.39,63
794.5,7.59,9.33,63
794.5,9.14,9,63
794.5,10.7,8.78,63
794.5,12.25,8.67,63
794.5,13.69,8.56,63
794.5,15.21,8.5,63
794.5,16.79,8.44,63
794.5,18.41,8.39,63
794.5,19.78,8.33,63
794.5,21.43,8.11,63
794.51,22.95,7.94,63
794.51,24.35,7.78,63
794.51,26,7.72,63
794.51,27.52,7.67,63
794.51,29.02,7.39,63
794.51,30.57,7.22,63
794.51,32,7.17,63
794.51,33.59,7.17,63
794.51,35.14,7.17,63
794.51,36.52,7.17,63
794.51,38.07,7.17,63
794.51,39.65,7.17,63
794.51,40.17,7.17,63
815.5,0.3,12.17,63
815.5,1.49,11.72,63
815.5,3.29,11.33,63
815.5,4.75,10.89,63
815.5,6.37,10.39,63
815.5,8.47,10.17,63
815.5,9.02,10.11,63
815.5,10.82,9.72,63
815.5,12.31,9.44,63
815.5,13.87,9,63
815.5,15.27,8.72,63
815.5,16.76,8.67,63
815.5,18.71,8.33,63
815.5,19.93,8.28,63
815.5,21.4,8.28,63
815.51,23.16,8.22,63
815.51,24.44,8.17,63
815.51,26.21,8.17,63
815.51,27.83,8.11,63
815.51,29.23,8.06,63
815.51,30.48,8,63
815.51,32.55,8,63
815.51,33.77,7.89,63
815.51,35.48,7.89,63
815.51,36.85,7.83,63
815.51,38.56,7.72,63
815.51,39.78,7.67,63
815.51,41.18,7.67,63
815.51,43.1,7.5,63
815.51,44.38,7.5,63
815.51,45.84,7.5,63
815.51,46.39,7.5,63
829.41,1.68,16.33,63
829.41,3.11,15.28,63
829.41,4.6,13.28,63
829.41,6.13,13,63
829.41,7.8,11.83,63
829.41,9.11,11.28,63
829.42,10.61,10.94,63
829.42,12.07,10.67,63
829.42,13.9,10.33,63
829.42,15.21,9.94,63
829.42,16.4,9.72,63
829.42,18.38,9.61,63
829.42,20.03,9.39,63
829.42,21.61,9.22,63
829.42,24.26,8.89,63
829.42,25.94,8.78,63
829.42,27.61,8.61,63
829.42,29.05,8.44,63
829.42,30.48,8.33,63
829.42,32.25,8.33,63
829.42,33.56,8.33,63
829.42,34.96,8.28,63
829.42,36.61,8.28,63
829.42,38.1,8.22,63
829.42,39.62,8.11,63
829.42,41.21,7.94,63
829.42,42.7,8,63
829.42,43.71,7.94,63
829.43,22.59,9,63
843.5,0.24,16.11,63
843.5,1.58,15.22,63
843.5,3.11,14.89,63
843.5,4.63,14.28,63
843.5,6.13,13.67,63
843.5,7.65,13.44,63
843.5,9.08,12.67,63
843.5,10.64,12.06,63
843.5,12.19,11.33,63
843.5,13.72,11.33,63
843.5,15.27,10.94,63
843.5,16.67,10.44,63
843.5,18.32,9.83,63
843.5,19.69,9.72,63
843.5,21.18,9.72,63
843.51,22.77,9.61,63
843.51,24.51,9.44,63
843.51,25.91,9.33,63
843.51,27.46,9,63
843.51,28.99,8.83,63
843.51,30.18,8.67,63
843.51,31.79,8.61,63
843.51,33.47,8.56,63
843.51,35.08,8.5,63
843.51,36.61,8.5,63
843.51,37.95,8.39,63
843.51,39.65,8.39,63
843.51,41.33,8.28,63
843.51,42.49,8.17,63
843.51,44.32,8.11,63
843.51,45.38,8.11,63
857.5,0.03,18.06,63
857.5,1.55,17.89,63
857.5,3.05,17.67,63
857.5,4.66,17.17,63
857.5,6.13,15.83,63
857.5,7.71,15.44,63
857.5,9.51,15,63
857.5,10.64,14.67,63
857.5,12.25,13.78,63
857.5,13.75,12.39,63
857.5,15.24,12.11,63
857.5,16.89,11.89,63
857.5,18.01,11.5,63
857.5,19.69,11.11,63
857.5,21.46,10.89,63
857.51,23.01,10.67,63
857.51,24.63,10.28,63
857.51,26.09,9.89,63
857.51,27.52,9.67,63
857.51,29.23,9.56,63
857.51,30.88,9.39,63
857.51,32.13,9.28,63
