 JDAY =    5860.49805042540     
QIN:,80.706779,47.933904,.000000,
QTR:,.070000,.000000,.000000,
QDT:,.000000,.000000,.000000,
QWD:,.000000,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
68,1,62,113.115497,.004507,.004503,68.385127,68.390303,-.007568,.605493,.605497,280.077442,280.075534,7.615035,7.615035,.083236,.083237
69,1,62,113.115718,.004286,.004282,67.408591,67.412073,-.005165,.605714,.605718,352.491136,352.488742,7.624732,7.624732,.040204,.040203
70,1,62,113.115785,.004219,.004215,65.987225,65.985234,.003016,.605781,.605785,364.097740,364.095276,7.671560,7.671560,-.020904,-.020910
71,1,62,113.115636,.004368,.004364,64.934801,64.936292,-.002296,.605632,.605636,249.876214,249.874531,7.538812,7.538812,.024224,.024221
72,1,62,113.115557,.004447,.004443,64.289005,64.293604,-.007154,.605553,.605557,190.821319,190.820039,7.472980,7.472980,.093135,.093137
73,1,62,113.115596,.004408,.004404,63.644210,63.650351,-.009649,.605592,.605596,186.144900,186.143655,7.424391,7.424391,.111721,.111723
74,1,62,113.115794,.004210,.004206,63.035678,63.042812,-.011318,.605790,.605794,226.411676,226.410164,7.402153,7.402153,.103081,.103083
75,1,62,113.115986,.004018,.004014,62.122763,62.131785,-.014523,.605982,.605986,311.070322,311.068249,7.401043,7.401043,.099541,.099542
76,1,62,113.116143,.003861,.003857,60.951479,60.960352,-.014557,.606139,.606143,298.086692,298.084711,7.429387,7.429387,.102406,.102407
77,1,62,113.116391,.003613,.003609,60.132219,60.141417,-.015297,.606387,.606391,244.779887,244.778267,7.490556,7.490556,.119524,.119526
78,1,62,113.116614,.003390,.003386,59.323043,59.332678,-.016242,.606610,.606614,262.687795,262.686063,7.579136,7.579136,.122821,.122823
79,1,62,113.116816,.003188,.003184,58.392156,58.401623,-.016212,.606812,.606816,323.157146,323.155025,7.651279,7.651279,.116514,.116515
80,1,62,113.117041,.002963,.002959,57.193335,57.201733,-.014684,.607037,.607041,378.388498,378.386027,7.681562,7.681562,.097981,.097981
81,1,62,113.117203,.002801,.002797,55.913460,55.918983,-.009877,.607199,.607203,473.349301,473.346232,7.710443,7.710443,.052423,.052421
82,1,62,113.117188,.002816,.002812,54.109885,54.118542,-.015999,.607184,.607188,498.248128,498.244920,7.703649,7.703649,.077386,.077386
83,1,62,113.117202,.002802,.002798,52.684475,52.695898,-.021681,.607198,.607202,479.378810,479.375751,7.691123,7.691123,.103982,.103984
84,1,62,113.117353,.002651,.002647,51.034365,51.044761,-.020370,.607349,.607353,493.710209,493.707082,7.643998,7.643998,.091081,.091082
85,1,62,113.117571,.002433,.002429,49.544933,49.554773,-.019861,.607567,.607571,483.060266,483.057241,7.595872,7.595872,.087587,.087587
86,1,62,113.117756,.002248,.002244,47.994436,48.005110,-.022242,.607752,.607756,447.867617,447.864845,7.588604,7.588604,.098712,.098713
87,1,62,113.118067,.001937,.001933,46.761312,46.769462,-.017430,.608063,.608067,416.245741,416.243203,7.606783,7.606783,.080087,.080087
88,1,62,113.118319,.001684,.001681,45.448903,45.454944,-.013291,.608316,.608319,455.521092,455.518360,7.652119,7.652119,.053654,.053653
89,1,62,113.118490,.001514,.001510,44.018595,44.023986,-.012247,.608486,.608490,439.432442,439.429847,7.728461,7.728461,.047850,.047849
90,1,62,113.118628,.001376,.001372,42.848431,42.848040,.000913,.608624,.608628,449.170947,449.168345,7.864444,7.864444,-.003273,-.003278
91,1,62,113.118542,.001461,.001458,41.407925,41.409834,-.004612,.608539,.608542,487.908160,487.905383,7.852502,7.852502,.014215,.014212
92,1,62,113.118497,.001506,.001503,40.049806,40.057869,-.020133,.608494,.608497,672.559079,672.555322,7.703640,7.703640,.043953,.043952
93,1,62,113.118523,.001480,.001477,37.618353,37.635712,-.046145,.608520,.608523,755.799734,755.795550,7.668576,7.668576,.082132,.082132
94,1,62,113.118723,.001280,.001277,35.836200,35.855136,-.052840,.608720,.608723,763.185112,763.180938,7.673763,7.673763,.088541,.088542
95,1,62,113.118932,.001071,.001068,33.418816,33.442333,-.070371,.608929,.608932,798.885563,798.881227,7.693251,7.693251,.109872,.109875
96,1,62,113.119215,.000788,.000785,31.475771,31.498506,-.072231,.609212,.609215,775.875104,775.870919,7.717547,7.717547,.113677,.113680
97,1,62,113.119417,.000586,.000583,29.213587,29.238001,-.083570,.609414,.609417,860.991501,860.986878,7.737480,7.737480,.111838,.111840
98,1,62,113.119656,.000347,.000344,26.828911,26.853294,-.090884,.609653,.609656,844.745951,844.741428,7.746098,7.746098,.116098,.116101
99,1,62,113.119972,.000031,.000028,24.673372,24.693994,-.083579,.609969,.609972,803.804990,803.801455,7.756264,7.756264,.111228,.111231
100,1,62,113.120294,-.000292,-.000294,23.288144,23.301773,-.058525,.610292,.610294,718.377806,719.248473,7.764839,7.764839,.124495,.124680
101,1,62,113.118796,-.000468,.001204,8.175705,8.544153,-4.506625,.610468,.608796,602.179490,603.051345,7.709217,7.709217,.096062,.096184
102,1,62,113.120725,-.000725,-.000725,8.337992,8.345071,-.084899,.610725,.610725,586.835909,586.834102,7.737419,7.737419,.052805,.052804
103,1,62,113.120893,-.000889,-.000893,6.729817,6.728885,.013836,.610889,.610893,604.549399,604.546142,7.905538,7.905538,-.006006,-.006011
104,1,62,113.120846,-.000843,-.000846,5.075196,5.073261,.038123,.610843,.610846,732.900517,732.896465,7.964518,7.964518,-.009532,-.009538
105,1,62,113.120742,-.000739,-.000742,.000000,.000000,.000000,.610739,.610742,858.954229,858.949420,7.923432,7.923432,.000000,.000000
106,1,62,113.120742,-.000739,-.000742,.000000,.000000,.000000,.610739,.610742,858.954229,858.949420,7.923432,7.923432,.000000,.000000
107,2,62,128.090000,.000000,.000000,30.800797,30.800797,.000000,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
108,2,62,140.223196,.000000,.000000,10.892119,10.892119,-1823.363364,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
109,2,62,138.545503,.000000,.000000,12.341006,12.341006,146.167056,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
110,2,62,137.844906,.000000,.000000,18.595639,18.595639,-252.889303,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
111,2,62,136.394654,.000000,.000000,22.873696,22.873696,-3.474506,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
112,2,62,135.285815,.000000,.000000,22.283514,22.283514,1.104276,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
113,2,62,133.520215,.000000,.000000,35.566330,35.566330,-1.434382,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
114,2,62,132.506701,.000000,.000000,28.080222,28.080222,-1.667068,.610000,.610000,7.983070,7.983070,.000000,.000000,.000000,.000000
115,2,62,130.620244,.000000,.000000,11.143871,11.143871,-1.660504,.610000,.610000,7.983070,7.983070,.000000,.000000,.000000,.000000
116,2,62,128.681696,.000000,.000000,22.125497,22.125497,-4.571535,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
117,2,62,128.485231,.000000,.000000,13.603136,13.603136,-4.852083,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
118,2,62,128.035253,.000000,.000000,4.875105,7.194337,-47.572969,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
119,2,62,128.000429,.000000,.000000,7.157488,7.157488,-216.108777,.610000,.610000,10.675000,10.675000,.000000,.000000,.000000,.000000
120,2,62,126.744675,.000000,.000000,14.779757,14.779757,-387.073345,.610000,.610000,12.200000,12.200000,.000000,.000000,.000000,.000000
121,2,62,126.672183,.000000,.000000,16.672456,16.672456,-351.322864,.610000,.610000,15.145385,15.145385,.000000,.000000,.000000,.000000
122,2,62,125.220784,.000000,.000000,11.365920,16.509072,-45.250641,.610000,.610000,15.145385,15.145385,.000000,.000000,.000000,.000000
123,2,62,125.151094,.000000,.000000,8.978845,14.492245,-61.404326,.610000,.610000,11.864805,11.864805,.000000,.000000,.000000,.000000
124,2,62,124.997901,.000000,.000000,18.219991,18.219991,-356.979048,.610000,.610000,12.640725,12.640725,.000000,.000000,.000000,.000000
125,2,62,123.924417,.000000,.000000,16.687587,16.687587,-29.768171,.610000,.610000,11.450920,11.450920,.000000,.000000,.000000,.000000
126,2,62,123.261250,.000000,.000000,12.730377,12.730377,44940.803684,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
127,2,62,121.826713,.000000,.000000,3.554017,4.463910,-25.601801,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
128,2,62,121.645327,.000000,.000000,-1.636651,-2.998411,-83.203984,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
129,2,62,121.639708,.000000,.000000,7.807144,7.807144,-631.091786,.610000,.610000,10.675000,10.675000,.000000,.000000,.000000,.000000
130,2,62,120.003460,.000000,.000000,13.420351,13.420351,-138.522794,.610000,.610000,12.733140,12.733140,.000000,.000000,.000000,.000000
131,2,62,119.869854,.000000,.000000,12.112835,12.112835,-226.699894,.610000,.610000,11.816310,11.816310,.000000,.000000,.000000,.000000
132,2,62,119.199532,.000000,.000000,12.061936,12.061936,-1193.634128,.610000,.610000,11.283170,11.283170,.000000,.000000,.000000,.000000
133,2,62,117.873410,.000000,.000000,15.743025,15.743025,-118.023409,.610000,.610000,12.200000,12.200000,.000000,.000000,.000000,.000000
134,2,62,116.914321,.000000,.000000,6.718172,6.718172,-150.220678,.610000,1.831898,49.546576,9.150000,.000000,.000000,.000000,.000000
135,2,62,114.341898,.000000,.000000,-2.940140,-2.948727,-.292035,.610000,1.831898,14.672738,6.100000,.000000,.000000,.000000,.000000
136,2,62,114.325892,-.115570,-.115582,47.933904,47.933904,-1.443791,.610000,.725582,19.037492,13.032345,6.680504,6.680504,.000000,2.019510
137,2,62,113.235582,-.115570,-.115582,32.247615,47.680823,-47.858448,.725570,.725582,37.734335,37.734328,6.677172,6.677172,.737860,.602710
138,2,62,113.112676,.007319,.007324,47.623268,47.927557,-.638950,.602681,.602676,64.467550,64.467839,6.651046,6.651046,.194093,.192888
139,2,62,113.119064,.000935,.000936,47.968245,47.972031,-.007892,.609065,.609064,66.422857,66.422902,6.617928,6.617928,.167779,.167778
140,2,62,113.119876,.000124,.000124,47.969918,47.972682,-.005762,.609876,.609876,57.042498,57.042462,6.593488,6.593488,.157200,.157201
141,2,62,113.119423,.000577,.000577,47.933346,47.936011,-.005561,.609423,.609423,80.652243,80.671665,6.560631,6.560631,.102444,.102474
142,2,62,113.119237,.000531,.000763,65.456515,67.504223,-3.128349,.609469,.609237,115.284763,121.281048,6.479444,6.479444,.093633,.105668
143,2,62,111.881773,-.000021,1.238227,26.860584,-135277.077031,503726.712276,.610021,-.628227,112.678048,118.677192,6.394318,6.394318,.052525,-139.189643
144,2,62,113.119777,-.000057,.000223,47.450967,-135254.633749,285140.835777,.610057,.609777,142.643630,142.665650,6.542068,6.542068,-.019105,-84.339613
145,2,62,113.119801,.000201,.000199,47.154987,-135254.933122,286930.599062,.609799,.609801,154.670329,154.669828,7.337662,7.337662,-.035621,-61.013934
146,2,62,113.119741,.000261,.000259,46.950101,-135255.137452,288182.742656,.609739,.609741,161.210084,161.209530,7.451299,7.451299,-.011502,-50.830597
147,2,62,113.119692,.000311,.000308,46.596739,-135255.489614,290368.146500,.609689,.609692,151.887577,151.887042,7.464226,7.464226,.026201,-50.390774
148,2,62,113.119743,.000260,.000257,46.409763,-135255.675176,291537.979996,.609740,.609743,119.743793,119.743347,7.363307,7.363307,.085044,-53.538661
149,2,62,113.119890,.000113,.000110,46.145216,-135255.938147,293209.341343,.609887,.609890,165.155401,165.154755,7.296287,7.296287,.100149,-35.650381
150,2,62,113.120147,-.000144,-.000147,45.758685,-135256.324387,295686.128974,.610144,.610147,174.358570,174.357857,7.298605,7.298605,.108058,-29.751971
151,2,62,113.120528,-.000525,-.000528,45.432939,-135256.654761,297806.155229,.610525,.610528,140.445972,140.445369,7.479652,7.479652,-.015070,-33.965403
152,2,62,113.120525,-.000523,-.000525,45.158290,-135256.930450,299617.388232,.610523,.610525,117.313461,117.312933,7.715586,7.715586,-.068118,-41.495847
153,2,62,113.120325,-.000323,-.000325,44.903110,-135257.185660,301320.087133,.610323,.610325,129.755017,129.754411,7.688487,7.688487,-.061080,-37.926386
154,2,62,113.120227,-.000224,-.000227,44.547562,-135257.539403,303725.010206,.610224,.610227,138.128874,138.128212,7.665628,7.665628,.004522,-32.865101
155,2,62,113.120263,-.000260,-.000263,44.242386,-135257.850766,305820.060701,.610260,.610263,397.930106,397.928144,7.685473,7.685473,-.054078,-14.672040
156,2,62,113.120009,-.000006,-.000009,42.591348,-135259.512077,317675.091952,.610006,.610009,588.865015,588.862102,7.558589,7.558589,-.065840,-9.896336
157,2,62,113.119747,.000256,.000253,41.324271,-135260.779888,327415.589947,.609744,.609747,470.317396,470.315055,7.386121,7.386121,-.080643,-10.718435
158,2,62,113.119535,.000469,.000465,40.230753,-135261.865983,336315.097842,.609531,.609535,404.908663,404.906632,7.331843,7.331843,-.067555,-12.654405
159,2,62,113.119418,.000586,.000582,39.253731,-135262.821990,344685.902650,.609414,.609418,540.412203,540.409461,7.226027,7.226027,.080922,-10.504369
160,2,62,113.119568,.000435,.000432,37.444205,-135264.623399,361343.147137,.609565,.609568,764.392588,764.388676,7.296403,7.296403,.077925,-7.854285
161,2,62,113.119843,.000160,.000157,35.305812,-135266.756058,383228.862329,.609840,.609843,739.640763,739.636938,7.430347,7.430347,.086325,-8.909520
162,2,62,113.120205,-.000202,-.000205,33.593031,-135268.469871,402768.251593,.610202,.610205,824.277875,824.273479,7.531235,7.531235,.077848,-8.299282
163,2,62,113.120445,-.000442,-.000445,30.882385,-135271.176401,438120.497105,.610442,.610445,954.139560,954.134230,7.625496,7.625496,.086191,-8.408554
164,2,62,113.120857,-.000853,-.000857,28.234069,-135273.829600,479215.606807,.610853,.610857,967.149032,967.143486,7.687993,7.687993,.083790,-9.879668
165,2,62,113.121229,-.001225,-.001229,25.318273,-135276.753442,534404.821211,.611225,.611229,893.521152,893.516037,7.754693,7.754693,.070468,-8.410795
166,2,62,113.121365,-.001362,-.001365,23.100412,-135278.973530,585712.814537,.611362,.611365,893.424576,893.419469,7.816011,7.816011,.063659,-6.717448
167,2,62,113.121360,-.001357,-.001360,20.180093,-135281.889343,670472.988626,.611357,.611360,992.182971,992.177276,7.846187,7.846187,.079637,-6.158429
168,2,62,113.121478,-.001475,-.001478,17.372100,-135284.700828,778846.951084,.611475,.611478,863.065888,863.060917,7.887024,7.887024,.075096,-6.814719
169,2,62,113.121568,-.001565,-.001568,15.184559,-135286.888264,891050.394123,.611565,.611568,825.156800,825.152082,7.918097,7.918097,.080693,-6.901534
170,2,62,113.121643,-.001640,-.001643,12.624107,-135289.445052,1071775.363587,.611640,.611643,1139.816069,1139.809547,7.918277,7.918277,.073098,-5.397776
171,2,62,113.121772,-.001768,-.001772,8.629607,-135293.446164,1567882.229156,.611768,.611772,1156.083070,1156.076486,7.966152,7.966152,.044618,-4.990903
172,2,62,113.121848,-.001844,-.001848,6.016339,-135296.065883,2248910.611554,.611844,.611848,940.549096,940.543786,8.017686,8.017686,.024104,-5.337582
173,2,62,113.121773,-.001769,-.001773,3.288756,-135298.786467,4114080.531313,.611769,.611773,838.384261,838.379565,7.892910,7.892910,.066543,-5.532746
174,2,62,113.121921,-.001918,-.001921,1.298542,-135300.787642,10419536.466176,.611918,.611921,812.493631,812.489116,7.921610,7.921610,.005772,-4.787437
175,2,62,113.121840,-.001836,-.001840,-1.212828,-135303.326887,-11155921.213542,.611836,.611840,863.303261,863.298485,7.836444,7.836444,-.124835,-4.316068
176,2,62,113.121496,-.001493,-.001496,-3.471494,-135305.589957,-3897518.513710,.611493,.611496,954.344225,954.338958,7.721792,7.721792,-.123239,-5.081309
177,2,62,113.121154,-.001151,-.001154,-6.499977,-135308.623681,-2081578.480776,.611151,.611154,1110.373742,1110.368584,7.721029,7.721029,-.128416,-4.946328
178,2,62,113.120743,-.000740,-.000743,-8.661807,-135310.776877,-1562054.061568,.610740,.610743,881.477176,882.347088,7.705007,7.705007,-.130258,-4.850799
179,2,62,113.118796,-.000468,.001204,.000000,.000000,.000000,.610468,.608796,632.939154,634.683260,7.709217,7.709217,.000000,.000000
