 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
  7141.000,   1,  0.62201527E+11,   0.00000000E+00,  -0.62918882E+11,  -0.16483730E+09,  -0.87895519E+09,   0.23925173E+09,   0.19276528E+10,   0.00000000E+00,   0.58155044E-08,
  7155.000,   1,  0.62294578E+11,   0.00000000E+00,  -0.63049242E+11,  -0.16554177E+09,  -0.88312610E+09,   0.23960135E+09,   0.19312587E+10,   0.00000000E+00,   0.48327269E-08,
  7169.000,   1,  0.62378886E+11,   0.00000000E+00,  -0.63178788E+11,  -0.16634102E+09,  -0.88702949E+09,   0.24017636E+09,   0.19319455E+10,   0.00000000E+00,   0.58853130E-08,
  7183.000,   1,  0.62463511E+11,   0.00000000E+00,  -0.63306266E+11,  -0.16706165E+09,  -0.89066536E+09,   0.24064983E+09,   0.19335862E+10,   0.00000000E+00,   0.74540077E-08,
  7197.000,   1,  0.62539918E+11,   0.00000000E+00,  -0.63419644E+11,  -0.16771363E+09,  -0.89409500E+09,   0.24093840E+09,   0.19340381E+10,   0.00000000E+00,   0.92867578E-08,
  7211.000,   1,  0.62616084E+11,   0.00000000E+00,  -0.63500823E+11,  -0.16824905E+09,  -0.89701005E+09,   0.24103344E+09,   0.19350663E+10,   0.00000000E+00,   0.10761458E-07,
  7225.000,   1,  0.62658327E+11,   0.00000000E+00,  -0.63601518E+11,  -0.16869207E+09,  -0.89982261E+09,   0.24147076E+09,   0.19360945E+10,   0.00000000E+00,   0.15764551E-07,
  7239.000,   1,  0.62693024E+11,   0.00000000E+00,  -0.63703167E+11,  -0.16912886E+09,  -0.90187934E+09,   0.24218251E+09,   0.19364707E+10,   0.00000000E+00,   0.26063300E-07,
  7253.000,   1,  0.62737188E+11,   0.00000000E+00,  -0.63803868E+11,  -0.16946291E+09,  -0.90395362E+09,   0.24228187E+09,   0.19366552E+10,   0.00000000E+00,   0.55202036E-07,
  7267.000,   1,  0.62775110E+11,   0.00000000E+00,  -0.63903740E+11,  -0.16976601E+09,  -0.90512896E+09,   0.24268963E+09,   0.19367580E+10,   0.00000000E+00,  -0.89986377E-07,
  7281.000,   1,  0.62840440E+11,   0.00000000E+00,  -0.63995725E+11,  -0.16982916E+09,  -0.90638801E+09,   0.24165549E+09,   0.19368426E+10,   0.00000000E+00,  -0.36422418E-07,
  7295.000,   1,  0.62954023E+11,   0.00000000E+00,  -0.64080875E+11,  -0.16982916E+09,  -0.90696039E+09,   0.24344753E+09,   0.19400112E+10,   0.00000000E+00,  -0.10630752E-06,
  7309.000,   1,  0.63003455E+11,   0.00000000E+00,  -0.64156926E+11,  -0.16982916E+09,  -0.90766892E+09,   0.24569999E+09,   0.19468656E+10,   0.00000000E+00,  -0.50647842E-07,
  7323.000,   1,  0.63028768E+11,   0.00000000E+00,  -0.64215691E+11,  -0.16982916E+09,  -0.90822425E+09,   0.24563518E+09,   0.19514845E+10,   0.00000000E+00,  -0.36525845E-07,
  7337.000,   1,  0.63080254E+11,   0.00000000E+00,  -0.64264316E+11,  -0.16982916E+09,  -0.90843702E+09,   0.24490244E+09,   0.19566207E+10,   0.00000000E+00,  -0.42984305E-07,
  7351.000,   1,  0.63125852E+11,   0.00000000E+00,  -0.64331148E+11,  -0.16982916E+09,  -0.90940616E+09,   0.24524113E+09,   0.19637251E+10,   0.00000000E+00,  -0.35882068E-07,
  7365.000,   1,  0.63160719E+11,   0.00000000E+00,  -0.64400029E+11,  -0.16988221E+09,  -0.91010783E+09,   0.24580402E+09,   0.19640517E+10,   0.00000000E+00,  -0.29453888E-07,
  7379.000,   1,  0.63208018E+11,   0.00000000E+00,  -0.64471131E+11,  -0.16992014E+09,  -0.91097139E+09,   0.24058975E+09,   0.19660619E+10,   0.00000000E+00,  -0.20712732E-07,
  7393.000,   1,  0.63312244E+11,   0.00000000E+00,  -0.64526074E+11,  -0.16992014E+09,  -0.91183656E+09,   0.24655558E+09,   0.19691379E+10,   0.00000000E+00,  -0.39150974E-07,
  7407.000,   1,  0.63477241E+11,   0.00000000E+00,  -0.64579888E+11,  -0.16992014E+09,  -0.91270055E+09,   0.24683957E+09,   0.19741252E+10,   0.00000000E+00,   0.89477584E-07,
  7421.000,   1,  0.63653765E+11,   0.00000000E+00,  -0.64635984E+11,  -0.17000728E+09,  -0.91407287E+09,   0.24779002E+09,   0.19755555E+10,   0.00000000E+00,   0.21814300E-07,
  7435.000,   1,  0.63782257E+11,   0.00000000E+00,  -0.64687074E+11,  -0.17035885E+09,  -0.91654716E+09,   0.24840907E+09,   0.19782089E+10,   0.00000000E+00,   0.14556951E-07,
  7449.000,   1,  0.63898330E+11,   0.00000000E+00,  -0.64747425E+11,  -0.17076776E+09,  -0.91918039E+09,   0.24898104E+09,   0.19792996E+10,   0.00000000E+00,   0.10571067E-07,
  7463.000,   1,  0.63996757E+11,   0.00000000E+00,  -0.64809111E+11,  -0.17128618E+09,  -0.92246548E+09,   0.24959193E+09,   0.19799827E+10,   0.00000000E+00,   0.90873801E-08,
  7477.000,   1,  0.64051400E+11,   0.00000000E+00,  -0.64905777E+11,  -0.17186440E+09,  -0.92627528E+09,   0.24995785E+09,   0.19805633E+10,   0.00000000E+00,   0.10856146E-07,
  7491.000,   1,  0.64097689E+11,   0.00000000E+00,  -0.65027699E+11,  -0.17259572E+09,  -0.92991207E+09,   0.25068017E+09,   0.19811439E+10,   0.00000000E+00,   0.16027465E-07,
  7505.000,   1,  0.64145356E+11,   0.00000000E+00,  -0.65172891E+11,  -0.17341388E+09,  -0.93376185E+09,   0.25109776E+09,   0.19828262E+10,   0.00000000E+00,   0.31555968E-07,
  7519.000,   1,  0.64191298E+11,   0.00000000E+00,  -0.65303302E+11,  -0.17420842E+09,  -0.93721555E+09,   0.25542752E+09,   0.19861007E+10,   0.00000000E+00,   0.16808977E-06,
  7533.000,   1,  0.64206505E+11,   0.00000000E+00,  -0.65372111E+11,  -0.17510631E+09,  -0.94035577E+09,   0.25406328E+09,   0.19869629E+10,   0.00000000E+00,  -0.61029407E-07,
  7547.000,   1,  0.64274890E+11,   0.00000000E+00,  -0.65465977E+11,  -0.17592578E+09,  -0.94320983E+09,   0.25385257E+09,   0.19876334E+10,   0.00000000E+00,  -0.29856169E-07,
  7561.000,   1,  0.64328198E+11,   0.00000000E+00,  -0.65550054E+11,  -0.17664238E+09,  -0.94584962E+09,   0.25437355E+09,   0.19876714E+10,   0.00000000E+00,  -0.22740122E-07,
  7575.000,   1,  0.64375821E+11,   0.00000000E+00,  -0.65624341E+11,  -0.17723474E+09,  -0.94795098E+09,   0.25478959E+09,   0.19876714E+10,   0.00000000E+00,  -0.15632499E-07,
  7589.000,   1,  0.64412046E+11,   0.00000000E+00,  -0.65694240E+11,  -0.17778238E+09,  -0.94996743E+09,   0.25562040E+09,   0.19876714E+10,   0.00000000E+00,  -0.11157029E-07,
  7603.000,   1,  0.64438859E+11,   0.00000000E+00,  -0.65756516E+11,  -0.17823559E+09,  -0.95174149E+09,   0.25199664E+09,   0.19877496E+10,   0.00000000E+00,  -0.70295690E-08,
  7617.000,   1,  0.64465854E+11,   0.00000000E+00,  -0.65812000E+11,  -0.17854970E+09,  -0.95335528E+09,   0.24560401E+09,   0.19879133E+10,   0.00000000E+00,  -0.76744421E-08,
  7631.000,   1,  0.64509530E+11,   0.00000000E+00,  -0.65859627E+11,  -0.17869717E+09,  -0.95438306E+09,   0.24123116E+09,   0.19880770E+10,   0.00000000E+00,  -0.81525604E-08,
  7645.000,   1,  0.64539566E+11,   0.00000000E+00,  -0.65905720E+11,  -0.17869717E+09,  -0.95526713E+09,   0.23374559E+09,   0.19884956E+10,   0.00000000E+00,  -0.67370541E-08,
  7659.000,   1,  0.64575643E+11,   0.00000000E+00,  -0.65951902E+11,  -0.17869717E+09,  -0.95585814E+09,   0.22675702E+09,   0.19885483E+10,   0.00000000E+00,  -0.45219251E-08,
  7673.000,   1,  0.64612736E+11,   0.00000000E+00,  -0.65997726E+11,  -0.17869717E+09,  -0.95624360E+09,   0.22026689E+09,   0.19885483E+10,   0.00000000E+00,  -0.33966444E-08,
  7687.000,   1,  0.64651677E+11,   0.00000000E+00,  -0.66042273E+11,  -0.17869717E+09,  -0.95642603E+09,   0.21287304E+09,   0.19885483E+10,   0.00000000E+00,  -0.28272276E-08,
  7701.000,   1,  0.64706529E+11,   0.00000000E+00,  -0.66080492E+11,  -0.17930372E+09,  -0.95695382E+09,   0.20876478E+09,   0.19885483E+10,   0.00000000E+00,  -0.37422066E-08,
