JDAY,Fl Wt Ave Temp,,Flow Weighted Average - Water Temperature below Folsom Reservoir (JDAY1 = 1/1/2000)
726,9.95,,
727,9.83,,
728,9.82,,
729,9.74,,
730,9.75,,
731,9.69,,
732,9.83,,
733,9.56,,
734,9.67,,
735,9.56,,
736,9.57,,
737,9.54,,
738,9.42,,
739,9.45,,
740,9.27,,
741,9.40,,
742,9.40,,
743,9.26,,
744,9.23,,
745,9.25,,
746,9.12,,
747,9.14,,
748,8.90,,
749,8.91,,
750,8.70,,
751,8.51,,
752,8.35,,
753,8.39,,
754,8.25,,
755,8.24,,
756,8.23,,
757,8.21,,
758,8.17,,
759,7.98,,
760,7.93,,
761,7.82,,
762,7.74,,
763,7.72,,
764,7.70,,
765,7.70,,
766,7.68,,
767,7.70,,
768,7.62,,
769,7.38,,
770,7.62,,
771,7.58,,
772,7.66,,
773,7.73,,
774,7.66,,
775,7.73,,
776,7.54,,
777,7.67,,
778,7.55,,
779,7.67,,
780,7.60,,
781,7.19,,
782,7.72,,
783,7.95,,
784,7.92,,
785,7.58,,
786,8.18,,
787,8.00,,
788,8.00,,
789,7.92,,
790,8.01,,
791,8.58,,
792,8.16,,
793,8.35,,
794,9.09,,
795,8.92,,
796,8.47,,
797,8.45,,
798,9.02,,
799,8.90,,
800,8.72,,
801,8.97,,
802,8.71,,
803,8.92,,
804,9.18,,
805,8.84,,
806,8.96,,
807,8.76,,
808,9.22,,
809,9.09,,
810,9.13,,
811,9.17,,
812,8.96,,
813,8.88,,
814,8.98,,
815,9.39,,
816,9.61,,
817,9.80,,
818,9.83,,
819,9.78,,
820,9.89,,
821,10.02,,
822,10.14,,
823,9.88,,
824,9.86,,
825,10.11,,
826,10.39,,
827,10.27,,
828,10.27,,
829,10.27,,
830,10.37,,
831,10.51,,
832,10.54,,
833,10.69,,
834,10.72,,
835,10.36,,
836,10.98,,
837,10.49,,
838,10.76,,
839,11.36,,
840,11.69,,
841,11.21,,
842,11.26,,
843,11.50,,
844,11.61,,
845,11.28,,
846,11.49,,
847,11.44,,
848,11.05,,
849,11.75,,
850,11.58,,
851,11.42,,
852,11.91,,
853,11.51,,
854,11.64,,
855,11.82,,
856,11.93,,
857,11.80,,
858,12.26,,
859,12.08,,
860,11.86,,
861,12.29,,
862,12.32,,
863,12.39,,
864,12.16,,
865,12.53,,
866,12.55,,
867,12.38,,
868,12.46,,
869,12.23,,
870,12.88,,
871,12.88,,
872,12.91,,
873,12.71,,
874,12.81,,
875,12.75,,
876,12.76,,
877,12.84,,
878,12.76,,
879,13.16,,
880,12.88,,
881,12.82,,
882,12.94,,
883,12.88,,
884,13.29,,
885,13.17,,
886,13.21,,
887,13.18,,
888,13.37,,
889,13.41,,
890,13.43,,
891,14.07,,
892,14.04,,
893,14.37,,
894,14.17,,
895,14.21,,
896,14.66,,
897,14.55,,
898,14.65,,
899,14.79,,
900,14.85,,
901,14.90,,
902,15.02,,
903,15.21,,
904,15.44,,
905,15.36,,
906,15.64,,
907,15.56,,
908,14.19,,
909,13.65,,
910,13.64,,
911,13.86,,
912,13.69,,
913,13.66,,
914,13.87,,
915,14.34,,
916,13.93,,
917,13.80,,
918,14.67,,
919,14.78,,
920,14.43,,
921,13.08,,
922,12.94,,
923,13.04,,
924,13.17,,
925,13.33,,
926,13.52,,
927,13.58,,
928,13.82,,
929,13.94,,
930,14.17,,
931,14.23,,
932,14.36,,
933,14.62,,
934,14.79,,
935,14.86,,
936,15.04,,
937,15.35,,
938,15.53,,
939,15.68,,
940,15.96,,
941,16.20,,
942,16.43,,
943,15.64,,
944,15.09,,
945,15.35,,
946,15.41,,
947,15.28,,
948,15.46,,
949,15.76,,
950,16.10,,
951,15.93,,
952,14.88,,
953,14.99,,
954,15.46,,
955,15.18,,
956,15.70,,
957,16.16,,
958,15.80,,
959,16.00,,
960,15.92,,
961,16.20,,
962,16.48,,
963,16.15,,
964,16.23,,
965,16.35,,
966,15.87,,
967,15.88,,
968,16.00,,
969,16.42,,
970,16.74,,
971,16.84,,
972,16.98,,
973,14.66,,
974,14.47,,
975,14.89,,
976,15.42,,
977,15.41,,
978,15.93,,
979,15.97,,
980,15.36,,
981,15.05,,
982,14.96,,
983,15.50,,
984,15.04,,
985,16.31,,
986,15.79,,
987,16.47,,
988,15.99,,
989,15.62,,
990,16.54,,
991,15.56,,
992,16.05,,
993,15.78,,
994,16.24,,
995,17.44,,
996,16.37,,
997,16.82,,
998,16.64,,
999,16.49,,
1000,16.69,,
1001,17.28,,
1002,17.40,,
1003,16.90,,
1004,17.00,,
1005,17.66,,
1006,17.71,,
1007,17.25,,
1008,17.01,,
1009,17.81,,
1010,17.33,,
1011,16.92,,
1012,17.55,,
1013,17.61,,
1014,17.55,,
1015,16.93,,
1016,17.48,,
1017,17.52,,
1018,17.62,,
1019,17.27,,
1020,17.28,,
1021,17.02,,
1022,17.14,,
1023,17.20,,
1024,17.43,,
1025,17.35,,
1026,17.11,,
1027,17.21,,
1028,17.11,,
1029,13.71,,
1030,12.83,,
1031,13.03,,
1032,13.43,,
1033,13.01,,
1034,12.73,,
1035,13.04,,
1036,12.94,,
1037,12.67,,
1038,12.91,,
1039,12.81,,
1040,13.25,,
1041,12.93,,
1042,13.11,,
1043,13.42,,
1044,13.51,,
1045,13.69,,
1046,13.80,,
1047,13.79,,
1048,13.92,,
1049,13.99,,
1050,14.11,,
1051,14.08,,
1052,13.96,,
1053,13.82,,
1054,14.26,,
1055,14.51,,
1056,14.40,,
1057,14.29,,
1058,14.22,,
1059,14.24,,
1060,14.34,,
1061,14.27,,
1062,14.21,,
1063,14.08,,
1064,13.94,,
1065,13.83,,
1066,13.73,,
1067,13.63,,
1068,13.64,,
1069,13.56,,
1070,13.37,,
1071,13.18,,
1072,13.16,,
1073,13.07,,
1074,13.05,,
1075,12.81,,
1076,12.76,,
1077,12.62,,
1078,12.63,,
1079,12.82,,
1080,12.68,,
1081,12.60,,
1082,12.31,,
1083,12.04,,
1084,11.47,,
1085,11.30,,
1086,11.24,,
1087,11.07,,
1088,10.71,,
1089,10.58,,
1090,10.25,,
1091,10.14,,
1092,10.07,,
1093,10.02,,
1094,10.18,,
1095,10.15,,
1096,9.98,,
1097,10.00,,
1098,9.66,,
1099,9.71,,
1100,9.40,,
1101,9.47,,
1102,9.90,,
1103,9.95,,
1104,9.77,,
1105,9.72,,
1106,9.60,,
1107,9.76,,
1108,9.71,,
1109,9.68,,
1110,9.64,,
1111,9.67,,
1112,9.66,,
1113,9.50,,
1114,9.42,,
1115,9.39,,
1116,9.31,,
1117,9.30,,
1118,9.24,,
1119,9.18,,
1120,9.08,,
1121,9.00,,
1122,8.91,,
1123,8.89,,
1124,8.87,,
1125,8.97,,
1126,8.94,,
1127,8.93,,
1128,8.95,,
1129,9.38,,
1130,9.16,,
1131,9.29,,
1132,9.30,,
1133,9.51,,
1134,9.55,,
1135,9.34,,
1136,9.36,,
1137,9.32,,
1138,9.15,,
1139,9.30,,
1140,9.02,,
1141,8.80,,
1142,8.76,,
1143,8.71,,
1144,9.14,,
1145,9.15,,
1146,8.96,,
1147,9.07,,
1148,9.12,,
1149,9.19,,
1150,9.14,,
1151,9.05,,
1152,8.99,,
1153,8.77,,
1154,9.05,,
1155,9.27,,
1156,9.25,,
1157,9.15,,
1158,8.99,,
1159,9.19,,
1160,9.32,,
1161,9.24,,
1162,9.13,,
1163,9.29,,
1164,9.18,,
1165,9.40,,
1166,9.30,,
1167,9.23,,
1168,9.31,,
1169,9.24,,
1170,9.64,,
1171,9.88,,
1172,9.94,,
1173,10.08,,
1174,9.79,,
1175,9.97,,
1176,9.99,,
1177,9.78,,
1178,10.04,,
1179,10.07,,
1180,9.86,,
1181,9.93,,
1182,10.70,,
1183,10.59,,
1184,10.38,,
1185,10.36,,
1186,10.28,,
1187,10.43,,
1188,10.84,,
1189,11.36,,
1190,11.34,,
1191,11.45,,
1192,11.37,,
1193,11.71,,
1194,11.80,,
1195,11.94,,
1196,11.39,,
1197,11.38,,
1198,11.39,,
1199,11.52,,
1200,11.81,,
1201,11.34,,
1202,11.55,,
1203,11.55,,
1204,11.56,,
1205,11.44,,
1206,11.55,,
1207,11.28,,
1208,11.69,,
1209,11.27,,
1210,11.13,,
1211,10.97,,
1212,11.53,,
1213,11.27,,
1214,11.14,,
1215,11.36,,
1216,11.46,,
1217,11.44,,
1218,11.22,,
1219,11.15,,
1220,11.25,,
1221,11.55,,
1222,11.20,,
1223,11.29,,
1224,11.40,,
1225,11.67,,
1226,11.40,,
1227,11.42,,
1228,11.33,,
1229,11.39,,
1230,11.28,,
1231,11.47,,
1232,12.25,,
1233,12.11,,
1234,12.06,,
1235,12.34,,
1236,12.66,,
1237,12.90,,
1238,12.39,,
1239,12.01,,
1240,11.64,,
1241,11.74,,
1242,11.77,,
1243,11.71,,
1244,11.74,,
1245,11.86,,
1246,12.08,,
1247,11.90,,
1248,11.97,,
1249,13.14,,
1250,13.70,,
1251,13.96,,
1252,13.94,,
1253,13.05,,
1254,12.58,,
1255,12.39,,
1256,12.52,,
1257,12.66,,
1258,12.64,,
1259,12.74,,
1260,12.88,,
1261,12.91,,
1262,13.01,,
1263,13.04,,
1264,13.19,,
1265,13.24,,
1266,13.29,,
1267,13.30,,
1268,13.47,,
1269,13.41,,
1270,13.54,,
1271,13.57,,
1272,13.68,,
1273,13.73,,
1274,13.82,,
1275,13.79,,
1276,13.92,,
1277,13.97,,
1278,14.01,,
1279,14.05,,
1280,14.13,,
1281,14.22,,
1282,14.26,,
1283,14.39,,
1284,14.39,,
1285,14.67,,
1286,14.46,,
1287,14.51,,
1288,14.75,,
1289,14.60,,
1290,14.71,,
1291,14.64,,
1292,14.74,,
1293,15.18,,
1294,15.14,,
1295,15.08,,
