$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35,
  0.3048,     0.000,   120.639,   131.379,    65.695,    61.598,    65.826,   113.631,   112.402,   129.920,   138.513,   118.460,   150.423,   335.494,   351.366,   340.867,   354.020,   340.070,   548.417,   244.805,   394.139,   345.728,   366.520,   417.378,   403.797,   406.137,   756.420,   390.432,   457.394,   524.618,   782.052,   809.952,   798.477,   481.723,   481.415,     0.000, 24
  0.3048,     0.000,   108.872,   128.447,    64.229,    60.223,    64.357,   111.095,   109.894,   127.020,   126.394,   115.816,   147.066,   309.784,   338.943,   333.260,   346.119,   332.480,   517.846,   239.341,   385.343,   338.013,   349.152,   398.789,   394.785,   397.073,   739.539,   381.718,   447.186,   503.669,   764.599,   791.877,   780.658,   470.972,   470.671,     0.000, 25
  0.3048,     0.000,   106.298,   125.409,    62.710,    58.799,    53.858,   108.469,   107.295,   124.017,   123.406,   113.078,   137.297,   302.459,   330.929,   325.380,   337.935,   307.738,   505.601,   233.682,   376.232,   325.500,   340.896,   380.304,   385.450,   387.684,   722.052,   372.692,   427.609,   491.759,   746.520,   773.152,   762.199,   450.907,   459.542,     0.000, 26
  0.3048,     0.000,   103.505,   122.114,    61.062,    57.254,    52.443,   105.618,   104.476,   120.758,   111.580,   110.106,   133.689,   294.511,   322.232,   308.028,   329.054,   299.651,   479.244,   227.541,   366.345,   316.946,   331.938,   370.311,   375.321,   377.496,   703.078,   354.156,   416.372,   478.837,   726.903,   752.835,   742.170,   430.365,   447.466,     0.000, 27
  0.3048,     0.000,   101.554,   119.812,    51.522,    56.175,    51.454,    94.992,   102.506,   118.482,   109.477,    99.721,   131.169,   288.960,   299.069,   284.953,   314.355,   285.388,   453.113,   215.684,   359.440,   310.972,   325.681,   346.028,   368.247,   370.381,   689.825,   347.480,   408.524,   461.191,   713.201,   738.645,   719.564,   422.252,   434.728,     0.000, 28
  0.3048,     0.000,    99.206,   108.683,    50.331,    54.876,    41.887,    84.360,   100.137,   107.475,   106.947,    97.416,   128.137,   273.978,   283.809,   278.366,   298.788,   278.791,   425.935,   210.698,   351.131,   303.784,   318.153,   338.030,   359.735,   361.819,   673.880,   339.448,   399.081,   450.531,   696.715,   721.571,   702.931,   404.160,   424.680,     0.000, 29
  0.3048,     0.000,    96.677,   105.912,    49.048,    53.477,    40.819,    82.210,    97.584,   104.735,   104.220,    94.933,   121.236,   258.904,   276.574,   271.270,   291.172,   263.483,   398.799,   205.327,   342.180,   287.816,   310.042,   321.177,   350.564,   352.596,   656.702,   330.795,   388.908,   439.046,   678.955,   703.177,   685.012,   393.857,   405.659,     0.000, 30
  0.3048,     0.000,    93.851,   102.816,    47.614,    51.914,    39.625,    79.806,    94.731,   101.673,   101.173,    92.157,   113.849,   251.333,   268.487,   263.338,   282.658,   255.779,   371.338,   199.324,   328.173,   279.400,   300.977,   311.786,   340.314,   342.286,   637.500,   321.122,   377.536,   426.208,   659.102,   682.616,   664.982,   382.341,   393.798,     0.000, 31
  0.3048,     0.000,    83.840,   100.198,    46.401,    42.804,    38.616,    77.774,    92.319,    99.084,    98.597,    89.810,   110.950,   237.280,   261.651,   256.633,   275.461,   241.508,   361.883,   194.248,   312.016,   272.286,   285.594,   303.847,   331.649,   333.571,   621.268,   312.946,   367.923,   415.356,   638.451,   665.235,   640.289,   364.923,   383.771,     0.000, 32
  0.3048,     0.000,    82.934,    91.491,    45.900,    42.341,    30.558,    76.934,    83.712,    98.013,    97.532,    88.840,   102.345,   234.716,   251.211,   239.661,   272.485,   231.224,   342.741,   173.387,   295.058,   261.648,   276.078,   292.858,   328.066,   329.967,   614.556,   309.565,   363.948,   410.869,   597.103,   642.745,   625.694,   360.981,   364.288,     0.000, 33
